,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,foi_inadimplente_bc,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,possibilidade_inadimplencia
213,21.0,120000.0,Aluguel,2.0,0,Pagamento de débitos,B,10000.0,11.71,0
214,26.0,74400.0,Hipoteca,10.0,0,Pagamento de débitos,A,15000.0,6.54,0
215,36.0,30996.0,Aluguel,2.0,1,Pessoal,C,5500.0,12.53,0
216,24.0,70000.0,Aluguel,0.0,0,Médico,A,10000.0,7.29,0
217,28.0,90000.0,Hipoteca,12.0,1,Melhora do lar,C,5000.0,14.79,0
218,32.0,44004.0,Aluguel,2.0,0,Pagamento de débitos,F,5000.0,18.25,1
219,21.0,40000.0,Aluguel,5.0,0,Educativo,B,1500.0,12.18,0
220,25.0,70000.0,Aluguel,1.0,0,Empreendimento,A,5750.0,8.0,0
221,24.0,36396.0,Aluguel,8.0,0,Pagamento de débitos,A,5000.0,6.03,0
222,30.0,9600.0,Aluguel,1.0,1,Pagamento de débitos,C,1500.0,12.73,1
223,22.0,38004.0,Própria,0.0,1,Empreendimento,D,3000.0,12.92,0
224,24.0,56000.0,Própria,8.0,0,Educativo,B,2000.0,11.49,0
225,29.0,73000.0,Aluguel,7.0,1,Pagamento de débitos,C,2500.0,14.35,0
226,26.0,70000.0,Hipoteca,9.0,0,Empreendimento,A,35000.0,7.9,0
227,42.0,100000.0,Hipoteca,7.0,0,Educativo,C,5000.0,14.26,0
228,30.0,65000.0,Aluguel,1.0,0,Pessoal,B,12000.0,11.49,0
229,36.0,100000.0,Hipoteca,17.0,0,Pagamento de débitos,A,6000.0,7.14,0
230,42.0,30000.0,Aluguel,5.0,0,Empreendimento,D,8000.0,14.96,0
231,26.0,65000.0,Aluguel,4.0,0,Pessoal,A,8000.0,6.92,0
232,26.0,59600.0,Hipoteca,9.0,0,Empreendimento,E,21000.0,16.45,1
233,23.0,54996.0,Aluguel,4.0,0,Educativo,B,16700.0,10.37,0
234,21.0,39000.0,Aluguel,4.0,0,Educativo,B,6000.0,10.38,0
235,24.0,50000.0,Aluguel,6.0,0,Pessoal,A,4000.0,7.66,0
236,24.0,39000.0,Hipoteca,3.0,0,Melhora do lar,A,5600.0,5.42,0
237,21.0,30000.0,Aluguel,0.0,0,Pagamento de débitos,A,1500.0,7.29,0
238,31.0,102000.0,Hipoteca,5.0,0,Educativo,A,4000.0,7.88,0
239,25.0,23712.0,Aluguel,9.0,0,Médico,B,1000.0,11.49,0
240,29.0,69000.0,Hipoteca,6.0,0,Pessoal,D,18000.0,12.61,0
241,25.0,52000.0,Hipoteca,9.0,0,Melhora do lar,A,24500.0,6.17,0
242,23.0,72250.0,Hipoteca,7.0,0,Médico,D,35000.0,15.99,1
243,30.0,51000.0,Hipoteca,4.0,0,Pessoal,B,2000.0,10.99,0
244,23.0,60000.0,Aluguel,7.0,0,Pagamento de débitos,B,25000.0,10.25,1
245,39.0,92000.0,Hipoteca,1.0,0,Pessoal,C,20000.0,14.79,0
246,22.0,72000.0,Própria,6.0,0,Empreendimento,B,16000.0,10.37,0
247,29.0,148716.0,Aluguel,4.0,1,Pessoal,C,24250.0,13.23,0
248,22.0,44004.0,Hipoteca,3.0,0,Educativo,D,9000.0,14.11,1
249,35.0,50000.0,Hipoteca,0.0,1,Educativo,C,5600.0,12.53,0
250,38.0,27600.0,Aluguel,3.0,1,Médico,D,5000.0,14.59,1
251,23.0,72000.0,Hipoteca,7.0,0,Educativo,A,20000.0,7.49,0
252,27.0,84906.0,Hipoteca,11.0,0,Pagamento de débitos,A,4500.0,7.51,0
253,28.0,81120.0,Aluguel,0.0,0,Pessoal,A,8350.0,7.49,0
254,23.0,50000.0,Hipoteca,5.0,0,Empreendimento,A,3600.0,5.99,0
255,28.0,46000.0,Aluguel,3.0,1,Pagamento de débitos,E,9000.0,17.56,1
256,23.0,69996.0,Aluguel,8.0,0,Educativo,B,13000.0,11.58,0
257,29.0,141000.0,Hipoteca,1.0,0,Empreendimento,A,8000.0,6.99,0
258,23.0,47000.0,Hipoteca,8.0,0,Empreendimento,A,7500.0,7.51,0
259,26.0,48000.0,Aluguel,3.0,0,Empreendimento,A,4000.0,5.79,0
260,29.0,70000.0,Aluguel,2.0,0,Pessoal,A,4500.0,5.42,0
261,24.0,80000.0,Própria,8.0,0,Empreendimento,A,12000.0,7.49,0
262,36.0,52000.0,Hipoteca,2.0,0,Melhora do lar,A,8000.0,7.51,0
263,25.0,74000.0,Hipoteca,5.0,1,Melhora do lar,D,10000.0,14.59,0
264,34.0,62900.0,Hipoteca,11.0,0,Médico,A,18000.0,8.94,1
265,25.0,35400.0,Aluguel,2.0,0,Médico,A,2000.0,8.49,0
266,28.0,85000.0,Hipoteca,2.0,0,Educativo,A,15000.0,8.49,0
267,26.0,106000.0,Hipoteca,9.0,1,Educativo,D,10000.0,15.33,0
268,22.0,45996.0,Aluguel,2.0,0,Educativo,A,8000.0,7.51,0
269,22.0,25000.0,Aluguel,0.0,0,Pagamento de débitos,B,4000.0,10.36,0
270,35.0,38760.0,Aluguel,2.0,1,Médico,F,8000.0,18.09,1
271,25.0,44966.0,Aluguel,3.0,0,Médico,A,10025.0,5.42,0
272,23.0,48500.0,Aluguel,5.0,0,Médico,A,3850.0,8.49,0
273,26.0,75000.0,Aluguel,0.0,0,Médico,B,12000.0,10.38,0
274,27.0,35000.0,Própria,2.0,0,Melhora do lar,B,6000.0,11.99,0
275,35.0,100000.0,Hipoteca,19.0,0,Empreendimento,B,1800.0,9.63,0
276,21.0,31680.0,Aluguel,5.0,1,Empreendimento,C,15000.0,12.61,1
277,30.0,37400.0,Hipoteca,6.0,0,Médico,D,12700.0,17.27,1
278,34.0,72000.0,Aluguel,17.0,0,Médico,C,2400.0,13.16,0
279,27.0,44000.0,Aluguel,1.0,1,Empreendimento,D,5000.0,16.89,1
280,23.0,52800.0,Aluguel,4.0,0,Empreendimento,C,14000.0,14.27,0
281,25.0,39996.0,Aluguel,3.0,0,Médico,A,5000.0,6.92,0
282,23.0,70000.0,Aluguel,1.0,1,Empreendimento,C,3000.0,14.27,0
283,26.0,62000.0,Hipoteca,10.0,1,Empreendimento,C,10000.0,13.43,0
284,24.0,54000.0,Aluguel,5.0,0,Empreendimento,C,21600.0,13.49,1
285,26.0,95400.0,Hipoteca,8.0,0,Pessoal,C,5000.0,12.68,0
286,38.0,40000.0,Aluguel,4.0,0,Educativo,B,18225.0,12.42,1
287,28.0,100000.0,Aluguel,1.0,0,Educativo,A,10000.0,7.51,0
288,22.0,44000.0,Aluguel,2.0,0,Empreendimento,D,10000.0,15.58,1
289,23.0,43500.0,Aluguel,2.0,0,Pessoal,C,10400.0,13.49,0
290,24.0,87504.0,Própria,9.0,0,Empreendimento,B,7000.0,8.88,0
291,22.0,26000.0,Hipoteca,4.0,0,Pessoal,B,4000.0,9.25,0
292,28.0,56100.0,Aluguel,9.0,1,Médico,D,20000.0,14.59,1
293,22.0,25000.0,Aluguel,3.0,0,Educativo,B,3000.0,12.69,0
294,24.0,70000.0,Aluguel,0.0,0,Médico,C,6425.0,13.72,0
295,24.0,90000.0,Hipoteca,8.0,1,Pessoal,C,5000.0,11.34,0
296,25.0,38748.0,Aluguel,2.0,0,Pessoal,A,3000.0,7.29,0
297,26.0,57000.0,Hipoteca,10.0,0,Empreendimento,A,14000.0,5.42,0
298,33.0,58344.0,Aluguel,5.0,1,Empreendimento,D,11975.0,16.29,0
299,22.0,42000.0,Aluguel,3.0,0,Educativo,B,8500.0,12.53,0
300,26.0,75000.0,Aluguel,0.0,0,Pagamento de débitos,A,7000.0,8.9,0
301,38.0,48000.0,Hipoteca,1.0,0,Pessoal,A,18000.0,8.49,0
302,25.0,62000.0,Aluguel,9.0,0,Pagamento de débitos,A,7000.0,7.49,0
303,23.0,112995.0,Aluguel,7.0,0,Empreendimento,A,2500.0,7.37,0
304,23.0,43200.0,Aluguel,7.0,1,Médico,C,5000.0,12.87,0
305,22.0,25000.0,Hipoteca,0.0,0,Melhora do lar,B,3000.0,9.99,1
306,26.0,38400.0,Aluguel,0.0,0,Médico,A,12000.0,5.99,1
307,22.0,36614.0,Aluguel,5.0,0,Médico,B,7000.0,9.99,1
308,30.0,39750.0,Hipoteca,3.0,0,Melhora do lar,B,1425.0,10.37,0
309,32.0,130000.0,Hipoteca,0.0,0,Pessoal,A,12000.0,8.59,0
310,23.0,57000.0,Própria,7.0,0,Educativo,B,4200.0,10.51,0
311,24.0,50000.0,Aluguel,4.0,0,Empreendimento,A,18000.0,7.9,1
312,22.0,26500.0,Aluguel,3.0,0,Pagamento de débitos,A,1900.0,7.29,1
313,29.0,97000.0,Aluguel,4.0,0,Empreendimento,B,25000.0,10.37,0
314,22.0,50000.0,Aluguel,4.0,0,Educativo,A,9350.0,7.49,0
315,26.0,65000.0,Aluguel,1.0,0,Empreendimento,A,3000.0,5.79,0
316,27.0,41000.0,Hipoteca,3.0,0,Pessoal,A,10000.0,8.59,0
317,28.0,148000.0,Hipoteca,0.0,1,Melhora do lar,D,15000.0,15.65,1
318,36.0,55000.0,Aluguel,8.0,0,Empreendimento,A,7500.0,8.9,0
319,33.0,69600.0,Hipoteca,17.0,0,Pessoal,B,16000.0,11.99,0
320,27.0,125000.0,Hipoteca,2.0,0,Educativo,A,8000.0,6.76,0
321,24.0,74000.0,Aluguel,7.0,1,Educativo,D,8000.0,15.62,0
