id_pessoa,id_bc,id_emprestimo,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,foi_inadimplente_bc,tempo_primeira_solicitacao_credito_bc,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,possibilidade_inadimplencia,porcentagem_salario_emprestimo
imn9ic93-oSMp,TfaAaHAR-4gI0,eH8Odfuj-RT5T,31.0,48996.0,Hipoteca,0.0,S,9.0,Melhora do lar,D,8500.0,14.11,1.0,0.17
oiqjo4kK-2ieZ,r8GH3oaq-pSQp,npEeneRK-zG8l,26.0,58000.0,Aluguel,10.0,S,4.0,Educativo,C,9600.0,13.99,0.0,0.17
AaDuh9Ug-p1By,P9shydKC-WLnl,681AjXXg-yUw5,25.0,191000.0,Hipoteca,1.0,N,4.0,Médico,B,10000.0,12.53,0.0,0.05
mtKsQFYC-LKKm,GC5pNzCD-5LGU,IDluiXvd-GiaF,26.0,35000.0,Aluguel,10.0,N,3.0,Educativo,B,12875.0,,1.0,0.37
tc2gzUJ2-Dh1s,s5Z6MPWk-5xgq,RhTgN0QY-C23h,31.0,135000.0,Hipoteca,9.0,N,6.0,Empreendimento,A,10000.0,7.14,0.0,0.07
JlUHLUZA-rfPy,kXb3MoC4-CC80,woPqremP-ROOh,24.0,64000.0,Hipoteca,8.0,N,4.0,Educativo,A,5000.0,7.88,1.0,0.08
cK9KSdTW-SABw,QjtP3Yff-14AH,QiGEuof0-QhSt,28.0,150000.0,Hipoteca,12.0,S,6.0,Educativo,C,10000.0,,0.0,0.07
PKTQBXKt-OXPB,i395QUYN-5Xhf,NBgultND-bFl2,25.0,110000.0,Hipoteca,7.0,N,4.0,Educativo,A,8000.0,7.14,0.0,0.07
pzB2WCoa-gXSS,GR7jm1kY-7pku,tRWrqNFB-5hR7,28.0,95000.0,Hipoteca,5.0,,4.0,Empreendimento,A,1800.0,,0.0,0.07
bQv6mUQ9-3Mbf,gOqEuvYZ-T1za,5x0t61fW-ghYo,39.0,60000.0,Hipoteca,1.0,S,14.0,Educativo,C,17000.0,14.65,0.0,0.28
zMqqJNJb-32Dk,gx1Lqjxf-f2U6,pLeboaWw-b4Xf,21.0,4750.0,Aluguel,1.0,S,3.0,,A,25000.0,16.07,0.0,0.19
vX0220AL-N1Xc,KSWNLJ5O-9B30,2OuPu8qh-deSt,28.0,48000.0,Aluguel,5.0,N,10.0,Pagamento de débitos,B,15000.0,11.99,1.0,0.31
DwRsBiGO-lo06,7KJaotAU-2GrE,e4SAwL8Q-7lT7,36.0,31000.0,Aluguel,3.0,N,12.0,Empreendimento,A,7100.0,8.9,0.0,0.23
TJvond5k-OZsJ,LOrdD3hM-coOU,Sq9jFOjZ-nd4A,22.0,96000.0,Hipoteca,3.0,S,2.0,Educativo,C,11400.0,13.04,0.0,0.12
BYmg43Fi-Mvaj,M2sgMabi-q39B,i536G5cd-egh3,21.0,40000.0,Aluguel,3.0,N,3.0,Educativo,D,7000.0,14.46,0.0,0.17
42LtRtXE-rL0e,ISauZKeR-H4iW,tpdTSCpY-Kz7M,25.0,56950.0,Aluguel,9.0,N,4.0,Médico,C,5000.0,13.92,1.0,0.07
LmwskARR-HyA3,j3jnnG3T-iF3N,0YpSbTgj-CZKT,21.0,41900.0,Aluguel,2.0,S,2.0,Empreendimento,C,16000.0,12.84,1.0,0.38
4zf4iTpX-Ju8u,YaMTpkN1-NQCk,eEisjK1m-T4wm,29.0,101000.0,Própria,6.0,N,8.0,Melhora do lar,B,12000.0,12.18,0.0,0.12
8Fbppelu-eKnR,S9zMallF-rruw,W3QjfBO2-jmhO,23.0,42000.0,Aluguel,4.0,N,3.0,Pessoal,A,10000.0,5.42,0.0,0.24
7K2Y0gam-BFAD,DywZmbUm-P5Jj,AFRsOe1g-ZMCv,31.0,215000.0,Hipoteca,2.0,N,10.0,Médico,B,15000.0,10.99,0.0,0.07
hRO9kOL5-Y29L,J7M98CyW-tebW,qBv7Ad3u-unNs,26.0,65000.0,Hipoteca,11.0,N,2.0,Empreendimento,A,12000.0,7.9,0.0,0.18
KI4650uQ-ACBq,hOqbstIi-ruOB,zocNNpx5-2jSB,24.0,111239.0,Hipoteca,1.0,N,4.0,Educativo,A,14000.0,7.9,0.0,0.13
WqgH0WAS-oyzU,cpNNIy77-kuMX,uoezEWJq-SLXA,24.0,60000.0,Aluguel,2.0,S,2.0,Pagamento de débitos,E,25000.0,,1.0,0.42
zAGYhdqJ-pD7D,4pfUPfsE-8Ltp,4cXZj28b-TIKj,30.0,43000.0,Aluguel,1.0,N,5.0,Médico,A,3200.0,8.0,0.0,0.07
RJRYhR8z-Lq2G,NGJInTnJ-WbA5,lklKeiRj-ugSo,21.0,68004.0,Hipoteca,5.0,N,3.0,Pagamento de débitos,B,16000.0,11.26,0.0,0.24
NGFGiGBt-qzAR,2C0wGh9W-akJo,nAcEqf1T-TwJv,25.0,25000.0,Aluguel,5.0,N,2.0,Médico,B,9000.0,11.49,1.0,0.36
juwMpikI-PHjn,SibJdNKl-Uz6I,0ae6R2mT-ZRFL,36.0,40000.0,Própria,4.0,N,16.0,Empreendimento,B,14000.0,10.99,0.0,0.35
yqR4vYfF-k8B1,JoCZcfDw-wRPD,9xQKOhnz-LrpZ,24.0,55000.0,Hipoteca,8.0,N,3.0,Médico,B,15000.0,9.91,0.0,0.27
W9xNZtvO-qLBS,YIIUhXxw-O8If,YRkJSwLT-uBQK,21.0,52000.0,Hipoteca,5.0,N,2.0,Pagamento de débitos,A,13250.0,5.99,0.0,0.25
noXp5ZzA-7kbv,zsgGPSlg-GAvl,MHm6RLEs-ml59,29.0,50000.0,Própria,3.0,N,6.0,Médico,B,4200.0,9.91,0.0,0.08
9Zt0XpIL-gGtx,GEqKtWh8-ItAd,JaQQSRMK-MlFG,27.0,12000.0,Própria,0.0,S,5.0,Educativo,D,8125.0,14.42,1.0,0.68
RYzaKgT3-rCwx,ASkICWNk-c9NY,BldAdx3r-PA8T,29.0,35000.0,Aluguel,12.0,N,7.0,Pagamento de débitos,A,1800.0,5.42,0.0,0.05
xnzIpFAr-XXwH,UQob4enS-T6vi,TzCPj24J-ca8m,38.0,104800.0,Hipoteca,6.0,N,11.0,Melhora do lar,A,14000.0,6.03,0.0,0.13
vM7jxZHX-hPQf,jvXpnOTv-W8gD,XJDd9tQg-onCB,29.0,32997.0,Aluguel,7.0,N,7.0,Pagamento de débitos,A,10000.0,5.79,0.0,0.3
uhoTm6sf-eMyr,vCjDmWK7-XB2N,BPwQZxLO-2wg2,24.0,33996.0,Aluguel,2.0,S,4.0,Educativo,D,5000.0,14.96,1.0,0.15
N3vLp5HW-vITL,OuqQBhde-wnex,QsvUYivH-K8iH,22.0,24000.0,Própria,1.0,N,3.0,Empreendimento,A,8000.0,7.51,0.0,0.33
g1GDvUjj-IoJj,SkfqfEzL-lKFD,2hnMHX0e-caej,23.0,45000.0,Aluguel,1.0,N,2.0,Pagamento de débitos,C,2000.0,13.49,0.0,0.04
uuxfZCc3-yREE,99KTbbun-q4wt,uCmuTGJI-lgY4,31.0,60000.0,Hipoteca,5.0,N,8.0,Médico,A,7200.0,6.03,0.0,0.12
zGFOoqXu-b5hx,AsuGeRgH-sksZ,KHyBcn07-c4j3,33.0,100000.0,Hipoteca,16.0,N,12.0,Médico,B,6000.0,8.94,,0.06
355PvPHL-0vhC,A4wzjCDZ-t27i,x8B2bLLP-a4WB,29.0,90000.0,Hipoteca,14.0,N,9.0,Melhora do lar,B,15000.0,11.11,0.0,0.17
7vMaC87f-hFHi,jjmTp2gM-kyRe,ltPCr6sE-FXps,23.0,95004.0,Aluguel,2.0,N,4.0,Educativo,A,5000.0,9.63,0.0,0.05
eLcbSsOy-pOY1,GDenwifY-iS7B,XgoYMTuX-dIJ4,35.0,27996.0,Aluguel,14.0,N,8.0,Médico,B,8500.0,11.58,0.0,0.3
t59ApC2m-YYFd,FlYfM4NA-7CZJ,BztZjz7l-APOx,30.0,28800.0,Aluguel,1.0,N,10.0,Pagamento de débitos,C,8000.0,12.73,0.0,0.28
01mYIc8o-5SsX,2l0WvCkT-vCj9,zzGGi9ec-u2LF,22.0,45000.0,Aluguel,3.0,N,2.0,Empreendimento,B,5000.0,12.42,0.0,0.11
kGgQ5Ztm-1Cai,UQ7Y34SQ-UanA,Flh8tBUI-8ZwW,31.0,52000.0,Aluguel,4.0,N,7.0,Empreendimento,B,10000.0,11.83,0.0,0.19
oXNrwSN4-pHGd,hMRKJ4gx-1Mf2,eouval6d-Q1hc,28.0,115000.0,Hipoteca,11.0,N,8.0,Melhora do lar,A,5000.0,7.51,0.0,0.04
ygjtMrWx-nI9B,A6DR8gph-6ZRw,xMWvaKGM-fRSZ,23.0,34000.0,Aluguel,0.0,N,4.0,Médico,A,1000.0,7.37,0.0,0.03
OD9kaNuK-wF7Y,IaHdzQXy-jcdy,fTp5F21g-PBe8,25.0,42000.0,Aluguel,2.0,N,4.0,Médico,B,6600.0,10.65,0.0,0.16
WOm68ybv-4qfz,TNUugZc5-GAmi,j48vDxzd-WzCt,24.0,54000.0,Própria,8.0,N,3.0,Pessoal,B,10000.0,10.99,0.0,0.19
duaNutsR-3WUc,FQ6lnvgr-2l6q,x5vU1QNy-Ef7b,28.0,61000.0,Aluguel,9.0,N,7.0,Pessoal,B,25000.0,9.91,1.0,0.41
B2HK6U1k-gRaE,rAZPhS1B-Olbf,Bxx6AYGv-xK8v,34.0,50725.0,Aluguel,1.0,S,9.0,Pessoal,C,5400.0,13.16,0.0,0.11
m0EsrCQA-UxF8,9UdFSUoj-JTbn,ybSH8enN-9zbG,23.0,74000.0,Aluguel,3.0,N,2.0,Médico,B,25000.0,10.36,1.0,0.34
Yu43ay9a-ReKe,QDWjg9p2-RtUT,SoRUcWf1-Cyse,31.0,65000.0,Hipoteca,4.0,N,9.0,Pagamento de débitos,B,20000.0,11.71,0.0,0.31
SniIxJ44-alJb,jOfMS80i-Zg5v,eJ081Ayo-Frym,23.0,34000.0,Aluguel,7.0,N,4.0,Educativo,B,10000.0,10.36,1.0,0.29
3Fn6Bsv2-lENb,En3WPrh1-l38m,eWgmMLkK-ZBt8,22.0,42996.0,Aluguel,2.0,S,4.0,Pagamento de débitos,C,14400.0,,1.0,0.33
rz1EWsAa-qLPB,187qtU8E-YHgw,vanxjNZ8-gDET,22.0,24449.0,Própria,2.0,N,4.0,Empreendimento,B,1800.0,11.89,0.0,0.07
GbKFxr7D-JIO4,KN2KKmsL-rJbv,eYw1jU0w-hBNF,33.0,108000.0,Aluguel,11.0,N,5.0,Empreendimento,B,3000.0,11.36,0.0,0.03
YcsNIdbf-tpgT,uRyGLHSl-yawC,ZiIYXvD7-5Pca,36.0,46000.0,Aluguel,2.0,N,14.0,Pagamento de débitos,C,10000.0,12.53,0.0,0.22
SeJTCFwO-KrbQ,CLOXuuct-rSpH,9mT4cjye-2LDX,41.0,50000.0,Aluguel,0.0,N,17.0,Pessoal,B,6000.0,8.88,0.0,0.12
G5aDf64O-PH6C,zndaY8Bz-M4Os,sH2uqDS7-NfhJ,26.0,31104.0,Aluguel,1.0,N,3.0,Pagamento de débitos,B,4000.0,9.99,0.0,0.13
HYNz400D-rzsb,4QvCYJZz-Qww5,eNAftsYx-hTla,22.0,60000.0,Própria,7.0,S,2.0,Empreendimento,D,15000.0,16.49,0.0,0.25
AlyOGpcv-PZHy,CBcyCzmp-dZQA,mEo0vZSm-wd9v,47.0,52000.0,Hipoteca,4.0,N,13.0,Pagamento de débitos,A,12000.0,7.29,0.0,0.23
pKtpPsWm-gBb5,gAv0hKgA-0syT,q7gXLqBB-y4RD,25.0,95000.0,Aluguel,4.0,N,2.0,Empreendimento,B,15000.0,12.42,0.0,0.16
4ePEsQ0Q-YPAT,P0QctpbZ-tA9E,a4Ei4NHR-M6JB,22.0,76296.0,Hipoteca,6.0,N,3.0,Empreendimento,A,18000.0,7.88,0.0,0.24
dcRQIdaK-ZrzX,4Ao59k8p-P36H,AsZ6UB9S-jvQ3,31.0,100000.0,Hipoteca,6.0,N,7.0,Melhora do lar,C,13000.0,12.61,0.0,0.13
qqBMyInS-aGKl,cjShcUOG-HxrO,Q8H92GQ5-Fd74,25.0,43000.0,Aluguel,2.0,N,3.0,Empreendimento,A,7800.0,7.14,0.0,0.18
WXqkgy4i-lLX0,dlqxbvAI-6b0K,uIe8aQoy-hIqe,25.0,58020.0,Aluguel,9.0,N,4.0,Pessoal,A,2000.0,6.91,0.0,0.03
F9a6bBd9-Xe2o,L42AQtMx-SEGR,8HuvzhAq-k7Xi,27.0,68000.0,Aluguel,4.0,N,5.0,Melhora do lar,A,8700.0,7.88,0.0,0.13
GKklBqAr-apB7,uah1n8KC-ga9P,1YSz1aEO-mfbP,23.0,54996.0,Hipoteca,7.0,N,3.0,Pagamento de débitos,B,3300.0,8.9,0.0,0.06
lUBk5Wxb-yRTh,7fvOUWjo-u4wJ,7Dxvjo5Z-Jkq2,35.0,30000.0,Aluguel,0.0,N,7.0,Educativo,A,6475.0,5.42,0.0,0.22
b7tdrgrW-ayvE,4inK3Tv4-C6LS,c2TKWh0I-ocZx,26.0,40000.0,Aluguel,1.0,N,2.0,Pessoal,B,12000.0,11.58,0.0,0.3
Tvok7xAu-oB5c,HfsqwiRm-nB28,GAtuyfvq-9kKD,23.0,50000.0,Aluguel,4.0,N,3.0,Pagamento de débitos,B,6000.0,11.49,0.0,0.12
c7N00Xkw-EjwP,6Uah3ah8-rfUd,TDkjPUqd-ndPx,25.0,61440.0,Aluguel,9.0,N,4.0,Empreendimento,B,8000.0,10.36,0.0,0.13
gPzGTvzd-YCHw,ME0OTs5h-qjMp,FptECc0u-OiGF,22.0,29000.0,Aluguel,2.0,N,3.0,Educativo,B,10500.0,9.99,1.0,0.36
gYjoo3jD-emAd,CAcJauAz-ctJX,uDlmyeNO-dbNN,25.0,44000.0,Hipoteca,4.0,S,4.0,Médico,D,5550.0,14.11,1.0,0.13
cG0aCPes-61zD,saYaqFAW-ePFO,CjrqlOBY-C0rM,23.0,50000.0,Hipoteca,3.0,N,3.0,Pessoal,B,10000.0,10.99,0.0,0.2
2qL2TpcA-3UO0,yyxAqFSr-rcKu,LoQ6fSUb-Oz9B,26.0,108000.0,Hipoteca,4.0,N,2.0,Pessoal,A,9000.0,5.79,0.0,0.08
zKhBXo2u-WqgH,dNdJZagZ-EYux,oWxhfJ5z-XbcS,23.0,70000.0,Hipoteca,5.0,N,4.0,Educativo,B,20000.0,12.21,0.0,0.29
SragtXBq-e1es,vWBPETFN-WZbN,OfP5DP80-WTnh,25.0,80140.0,Hipoteca,4.0,N,2.0,Pagamento de débitos,B,11300.0,10.37,0.0,0.14
DWSEWuzW-0YNY,wAxLWQ8O-powv,EenI4oK7-W08Q,28.0,34000.0,Aluguel,1.0,N,7.0,Empreendimento,B,4800.0,11.49,0.0,0.14
6wjmTJ6Y-hQGF,0xnnXI5T-xBOL,PxNZBxYl-2e3i,22.0,78413.0,Hipoteca,6.0,N,2.0,Educativo,B,17500.0,10.65,0.0,0.22
JFCnlUKo-opAW,uo02FqyD-sP5N,WqqAxdoR-mNAa,21.0,24000.0,Hipoteca,0.0,N,4.0,Empreendimento,A,3000.0,7.9,0.0,0.13
4BCj5iMI-SvAr,nAqbykfb-2whQ,dzApwnYM-OIBi,27.0,22800.0,Hipoteca,11.0,N,10.0,Médico,B,2500.0,10.99,0.0,0.11
2E2Jp2gN-3Rc2,DfrYmDZi-YdO8,0Y0rHbib-kYJ4,53.0,95000.0,Própria,24.0,N,30.0,Pessoal,A,6000.0,5.42,0.0,0.06
hBn6Nj78-fvgu,2SebLJsQ-lj5F,w1JRom7y-y1od,26.0,31200.0,Aluguel,8.0,N,2.0,Pessoal,A,5000.0,8.63,0.0,0.16
OUcAOZQh-aQLy,LaJgumz0-dtyI,9dov9RBP-etrY,39.0,65000.0,Hipoteca,3.0,S,14.0,Educativo,D,6000.0,15.62,0.0,0.09
NiumiXy3-ZCWU,R2MiB33I-ZKkD,k6gvpaPQ-hk69,25.0,45000.0,Aluguel,9.0,N,3.0,Pagamento de débitos,B,12000.0,9.62,0.0,0.27
yrL27Gzn-imvW,uQdCArAk-ISO3,zjwERmLe-r97O,31.0,65000.0,Hipoteca,3.0,N,3.0,Pagamento de débitos,A,10000.0,11.03,,0.1538
9Gbo6GjU-I4vH,FpZNX7aC-n4LP,8g7OWEJO-Du7T,24.0,25000.0,Aluguel,0.0,N,2.0,Melhora do lar,B,8500.0,12.21,1.0,0.34
e23slzE8-B0Ax,lllfq9ft-0KFp,c048XsHF-y51I,29.0,24960.0,Aluguel,13.0,N,6.0,Empreendimento,A,4000.0,5.42,0.0,0.16
ds2jH5KJ-WuMF,Cn135ogy-bKDy,7rquRb04-0CEL,22.0,81600.0,Hipoteca,6.0,N,3.0,Pessoal,A,1300.0,6.39,0.0,0.02
AplH4Lwm-gyYK,rZoiEpPc-bciv,H7WZlXS5-Rjyu,25.0,90000.0,Hipoteca,7.0,N,3.0,Pagamento de débitos,A,6000.0,7.14,0.0,0.07
pMajKnu6-53f4,QHGwl9TO-5WKP,RpFauaAu-LzeN,27.0,44640.0,Aluguel,0.0,N,9.0,Médico,B,12800.0,11.83,0.0,0.29
Q5dqB97I-TEjJ,1G4XQSD0-EUYu,UjQWv0nx-pw3f,24.0,85000.0,Hipoteca,8.0,N,4.0,Educativo,B,20000.0,11.11,0.0,0.24
CZWcNgWA-kbk4,FxGG9RvP-Le3z,MjTNYsmN-6qBc,26.0,87000.0,Hipoteca,9.0,N,2.0,Pagamento de débitos,C,25000.0,12.73,0.0,0.29
mvkJyvGc-yYuw,IKk1KTWI-y4IG,h0oDhLmM-OrEm,22.0,54000.0,Aluguel,4.0,S,3.0,Pagamento de débitos,C,9000.0,15.96,0.0,0.17
WS5U2tKu-iGtE,fJ0KRNk3-k0Rx,nZJqWH9s-yKAW,22.0,43000.0,Aluguel,1.0,N,3.0,Empreendimento,D,7500.0,14.96,1.0,0.17
Mucn0ump-Stue,skrBzl9k-6XSu,BmUhdDn5-YUDX,24.0,78000.0,Hipoteca,8.0,N,4.0,Pagamento de débitos,A,3600.0,5.42,0.0,0.05
F8sjbtYh-Ntuc,q3SsWfhh-eib9,s23EevcN-d0JX,22.0,73000.0,Hipoteca,6.0,N,2.0,Educativo,B,7000.0,10.59,0.0,0.1
LTD2XdcS-ZCv4,iBDB52Wo-4WAb,ob9Yrlfi-Ocpc,24.0,65000.0,Hipoteca,6.0,N,2.0,Pessoal,B,11000.0,11.49,0.0,0.17
IYKcjmRZ-EGj7,K6M9GKHr-JJWU,Y4YGCAT6-kdKz,,70000.0,Aluguel,5.0,S,7.0,Educativo,B,13225.0,16.11,0.0,0.1889
K61MH9Be-kQJ1,zSExL9u6-EOE4,JvkTGpaD-ra8i,32.0,230000.0,Aluguel,0.0,N,5.0,Melhora do lar,A,15000.0,5.99,0.0,0.07
5mRksQM9-eExJ,AE9jiGaA-WlNL,EWKeCA52-k771,23.0,35500.0,Aluguel,2.0,S,2.0,Melhora do lar,D,9000.0,15.99,1.0,0.25
aJCQ5hY4-MiS6,uBExJeBT-hicI,q0bvJBPd-qrJN,22.0,104000.0,Aluguel,3.0,N,2.0,Médico,C,15900.0,13.49,0.0,0.15
18UJRYaa-ZMs6,UfosSYa8-hY8Q,oSUPE75N-HwUi,22.0,64312.0,Hipoteca,4.0,S,4.0,Empreendimento,D,5000.0,14.91,0.0,0.08
c7nkcYEn-WoMN,LBcAufFd-37UY,eEJckkSg-PLwD,36.0,50000.0,Aluguel,5.0,N,15.0,Educativo,A,6500.0,,0.0,0.13
BAOYgg91-Dmlx,Hcp70S5d-El0J,Txue7n0E-pQ4T,23.0,20664.0,Aluguel,4.0,S,3.0,Educativo,C,4550.0,13.72,0.0,0.22
qoGIpKHY-qEyQ,lmAkaOGs-iN3k,BH9qOpoC-Psvs,29.0,60000.0,Aluguel,13.0,N,8.0,Melhora do lar,D,17000.0,14.96,0.0,0.28
sOhkjxha-2BpL,pltL0SOO-FhkN,ytIdu6Om-focr,28.0,31200.0,Aluguel,3.0,N,7.0,Pagamento de débitos,A,3600.0,6.39,0.0,0.12
AKC68iDq-jfMA,NnraIP8x-FO0U,159d2zBS-vhU8,22.0,30004.0,Própria,6.0,N,2.0,Educativo,A,7500.0,,0.0,0.25
n30qucW0-y8nf,thjENh4w-5DRM,2lJGIqQM-bp5M,30.0,36000.0,Hipoteca,14.0,N,5.0,Melhora do lar,B,7000.0,10.65,0.0,0.19
WxbsddLX-16Ok,xIZ02Rds-vthd,A0wzG4hq-KJ7T,34.0,60000.0,Aluguel,1.0,N,9.0,Educativo,B,10000.0,9.62,0.0,0.17
19PcvNsb-Q2EX,U52bX4kH-XWDk,YEt0gafB-dAdf,22.0,30000.0,Aluguel,0.0,N,4.0,Médico,A,7000.0,8.9,0.0,0.23
ilY2EZA8-vwR7,UFOpaRIg-2UvG,X9LO565m-zaEc,25.0,65000.0,Aluguel,2.0,N,2.0,Pagamento de débitos,B,4200.0,,0.0,0.06
F3Y67rIn-jckm,Ecjh4AUO-UTRq,wErmE5GG-WOjr,26.0,47000.0,Aluguel,0.0,S,2.0,Melhora do lar,D,25000.0,15.28,1.0,0.53
WTaTWD7R-nB26,l45L15fR-YZxS,emllPw3q-SPlj,28.0,72000.0,Hipoteca,9.0,N,8.0,Melhora do lar,B,18000.0,11.89,0.0,0.25
Nd27XiBX-lXUd,PRJU1oaG-yona,T3wsKLZm-NLwO,32.0,160000.0,Hipoteca,2.0,N,5.0,Médico,B,3200.0,,0.0,0.02
LPL286b5-nzmc,aqy3O2yH-AIYH,xTE1h5Kz-PsYS,24.0,47000.0,Aluguel,8.0,,4.0,Pagamento de débitos,B,8930.0,11.49,0.0,0.19
